nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Konsultant Data/ML/Cloud (CMT Strategy & Consulting),"Kraków, +1 location",Tak,Brak danych,Brak danych
Senior Data Engineer,Warszawa,Tak,20 000,30 000
BI Developer,Kraków,Nie,Brak danych,Brak danych
Data Engineer,Warszawa,Tak,Brak danych,Brak danych
Database Administrator with Azure,Warszawa,Tak,Brak danych,Brak danych
Lead Data Scientist,Warszawa,Tak,18 000,21 000
Machine Learning Data Engineer,"Warszawa, +1 location",Nie,Brak danych,Brak danych
Senior Splunk Engineer,Warsaw,Tak,Brak danych,Brak danych
MySQL Senior Developer,"Szczecin, +2 locations",Tak,11 190,15 100
Sr Salesforce Marketing Cloud Developer,"Szczecin, +2 locations",Tak,11 190,15 100
DEEP LEARNING ENGINEER,"Łódź, +1 location",Tak,Brak danych,Brak danych
ETL Developer (IPC),Warszawa,Tak,14 000,20 000
PostgreSQL/MySQL Developer,"Szczecin, +2 locations",Tak,11 250,15 200
ETL Database Developer,Wrocław,Tak,15 120,17 640
Data Analyst,"Southampton, +8 locations",Tak,15 870,20 520
Big Data Software Engineer,Sopot,Nie,Brak danych,Brak danych
"Analityk Danych (Python, SQL)",Warszawa,Nie,Brak danych,Brak danych
BI Developer,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Customer Data Manager,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Data Architect,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Global Applications/BI Developer,Katowice,Nie,Brak danych,Brak danych
Junior Analytics Specialist,Warszawa,Tak,Brak danych,Brak danych
Junior Big Data Platform Specialist,Warszawa,Tak,Brak danych,Brak danych
Database Administrator (PostgreSQL),Warszawa,Tak,20 000,30 000
Data Engineer,Warszawa,Tak,13 000,25 000
Senior BI Developer,Gdynia,Nie,Brak danych,Brak danych
Junior Big Data Platform Specialist,Warszawa,Tak,Brak danych,Brak danych
Database Administrator (PostgreSQL),Warszawa,Tak,20 000,30 000
Data Engineer,Warszawa,Tak,13 000,25 000
Senior BI Developer,Gdynia,Nie,Brak danych,Brak danych
Senior AI Engineer,Warszawa,Tak,28 000,33 000
