nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Business Analyst,Wrocław,Tak,Brak danych,Brak danych
BI Developer,Kraków,Nie,Brak danych,Brak danych
Business Intelligence Developer,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
SAP BI Expert,Київ,Tak,17 570,21 960
System Analyst - System Integration Team,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Analityk w dziale Technology Consulting,Warszawa,Tak,Brak danych,Brak danych
Server Analyst,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Cloud / BI Service Delivery Manager,Warszawa,Tak,Brak danych,Brak danych
Business Analyst,Warszawa,Tak,20 000,26 500
Business Analyst,Warszawa,Tak,23 520,30 240
Analityk systemowy,"Wrocław, +1 location",Tak,20 000,23 500
Senior IT Business Analyst,"Bydgoszcz, +3 locations",Tak,13 000,18 000
IT System Analyst,"Bydgoszcz, +3 locations",Tak,9 000,15 000
Technical Business Analyst,Warszawa,Nie,Brak danych,Brak danych
Power BI Developer,Warszawa,Nie,Brak danych,Brak danych
Analityk Systemowy,"Szczecin, +5 locations",Tak,10 000,15 000
"Visualization Analyst (Communication, Media & Technology)",Warszawa,Tak,Brak danych,Brak danych
👨‍💻Junior Analytics Developer,Poznań,Tak,5 500,7 000
Junior Business Intelligence Developer,Warszawa,Tak,Brak danych,Brak danych
Junior Azure BI Platform Engineer,Warszawa,Tak,Brak danych,Brak danych
Solution Engineer / System Analyst,"Wrocław, +2 locations",Tak,10 000,17 000
Analityk Rozwiązań IT,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,Warszawa,Tak,23 000,24 000
Analityk IT,Warszawa,Nie,Brak danych,Brak danych
Business Analyst,Wrocław,Tak,Brak danych,Brak danych
BI Developer,Kraków,Nie,Brak danych,Brak danych
Business Intelligence Developer,"Gdańsk, +2 locations",Tak,Brak danych,Brak danych
SAP BI Expert,Київ,Tak,17 570,21 960
System Analyst - System Integration Team,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
Analityk w dziale Technology Consulting,Warszawa,Tak,Brak danych,Brak danych
Server Analyst,"Warszawa, +2 locations",Nie,Brak danych,Brak danych
Cloud / BI Service Delivery Manager,Warszawa,Tak,Brak danych,Brak danych
Business Analyst,Warszawa,Tak,20 000,26 500
Analityk Systemowy,Warszawa,Nie,23 760,26 400
Data Analyst,"Zielona Góra, +2 locations",Tak,18 000,23 000
Analityk Biznesowo – Systemowy,Warszawa,Tak,7 500,13 000
Junior Data Analyst,Wrocław,Nie,3 500,4 000
IT Business Analyst (Finance),Kraków,Tak,18 000,21 000
Starszy Analityk Biznesowo - Systemowy,Warszawa,Tak,9 500,17 000
Digital Identity Analyst,Warsaw,Tak,Brak danych,Brak danych
Analityk Biznesowo - Systemowy,Wejherowo,Nie,10 000,12 000
Lead Analyst,Warszawa,Nie,Brak danych,Brak danych
Business Analyst / Product Owner,Warszawa,Nie,Brak danych,Brak danych
Specjalista Business Intelligence,Warszawa,Nie,Brak danych,Brak danych
Senior Business Analyst,"Gdańsk, +4 locations",Tak,Brak danych,Brak danych
Analityk Biznesowy,Wrocław,Tak,Brak danych,Brak danych
Analityk Systemowy (Integracje Systemów),"Warszawa, +2 locations",Tak,10 080,18 480
Analityk biznesowy,"Bełchatów, +2 locations",Nie,Brak danych,Brak danych
Analityk IT,Warszawa,Nie,Brak danych,Brak danych
Analityk Business Intelligence,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Business-System Analyst,"Poznań, +1 location",Tak,Brak danych,Brak danych
Business Analyst,Kraków,Tak,16 000,24 000
Analytics Engineer,Paryż,Tak,Brak danych,Brak danych
Data Analyst,Katowice,Tak,Brak danych,Brak danych
Analityk IT,Szczecin,Nie,9 000,11 000
"Analytics Engineer, Monetisation",Wilno,Tak,17 190,21 370
Analityk Danych,Warszawa,Nie,6 000,8 500
Analityk,Łódź,Nie,6 000,8 000
Power BI / Tableau DevOps Specialist,Warszawa,Tak,Brak danych,Brak danych
Junior IT/Business Analyst,Warszawa,Nie,Brak danych,Brak danych
Młodszy Analityk IT,Warszawa,Tak,Brak danych,Brak danych
Analityk Biznesowo - Systemowy,Warszawa,Tak,15 000,20 000
Analityk biznesowy,Warszawa,Nie,Brak danych,Brak danych
Analityk IT,Wrocław,Tak,16 000,20 000
Analityk Biznesowy,Poznań,Nie,Brak danych,Brak danych
Senior Business Analyst/ Product Owner,"Warszawa, +1 location",Tak,18 000,19 000
PROGRAM PRAKTYK LETNICH w IT,Warszawa,Tak,Brak danych,Brak danych
