nazwa,miasto,zdalnie,zarobki_min,zarobki_max
♨️ Senior Java Developer ♨️,"Wrocław, +2 locations",Tak,19 000,27 500
Senior Java Developer,Warszawa,Tak,34 000,42 000
Junior/Mid Java Developer,Gdańsk,Nie,6 000,9 000
JAVA Developer,Kraków,Tak,10 000,18 000
"Senior Software Engineer (Kotlin, Java)","Poznań, +2 locations",Tak,19 000,26 500
Tech Lead / Senior Software Engineer,Kraków,Nie,Brak danych,Brak danych
Java Software Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Kotlin Backend Developer ( start-up),"Warszawa, +1 location",Tak,15 000,22 000
Senior Java Engineer,Варшава,Tak,17 570,30 750
💎 Java Developer (Microservices) 💎,"Warszawa, +18 locations",Nie,12 000,15 000
"Senior Software Engineer (Kotlin, Java)","Poznań, +2 locations",Tak,19 000,26 500
Tech Lead / Senior Software Engineer,Kraków,Nie,Brak danych,Brak danych
Java Software Developer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Kotlin Backend Developer ( start-up),"Warszawa, +1 location",Tak,15 000,22 000
Senior Java Engineer,Варшава,Tak,17 570,30 750
💎 Java Developer (Microservices) 💎,"Warszawa, +18 locations",Nie,12 000,15 000
Java Developer (Service mesh),"Katowice, +1 location",Tak,Brak danych,Brak danych
Junior Java Developer/ DevOps,Warszawa,Nie,14 700,15 750
Mid Full Stack Developer,"Warszawa, +18 locations",Nie,10 000,20 000
TIBCO BusinessWorks Developer,Warszawa,Tak,Brak danych,Brak danych
Senior Backend Software Engineer,"Zielona Góra, +2 locations",Nie,18 500,26 500
Trading System Java Developer,"Warszawa, +2 locations",Tak,11 000,22 000
Senior Backend Engineer (Microservices),Bratislava,Tak,17 560,28 290
Fullstack Developer (Angular),"Katowice, +1 location",Tak,Brak danych,Brak danych
Java Developer,Katowice,Tak,Brak danych,Brak danych
Java Developer,"Kraków, +2 locations",Tak,15 000,25 000
Backend Software Engineer,"Zielona Góra, +2 locations",Nie,12 000,18 000
