nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Mobile Developer (Mid/Senior),"Warszawa, +2 locations",Tak,18 000,23 000
Android Developer,"Katowice, +2 locations",Tak,22 000,30 000
Android Developer,Wrocław,Tak,15 000,18 000
Senior Mobile Engineer (Android),Londyn,Tak,51 240,65 880
"Mobile Engineer, AI Services (Edge ML)",Kraków,Tak,19 000,26 000
iOS Developer,"Warszawa, +18 locations",Tak,10 000,16 000
Internship in IT |DevOps & iOS & Android,"Gdańsk, +2 locations",Nie,,
iOS Developer,Gdańsk,Tak,12 000,18 000
Android Mobile Developer,"Southampton, +9 locations",Tak,Brak danych,Brak danych
Android Developer,"Wrocław, +4 locations",Tak,14 000,24 000
Android Engineer,Warszawa,Tak,Brak danych,Brak danych
iOS Mobile Developer,"Southampton, +9 locations",Tak,Brak danych,Brak danych
iOS Developer,"Warszawa, +2 locations",Tak,12 000,22 000
Senior Android Engineer,"Wrocław, +2 locations",Tak,16 000,18 000
Mobile Developer iOS,Warszawa,Nie,Brak danych,Brak danych
Android Developer,"Warszawa, +2 locations",Tak,12 000,22 000
Lider Zespołu Oprogramowania Mobilnego,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
React Native Engineer,Kraków,Nie,14 500,21 000
iOS Engineer,Kraków,Tak,18 000,24 000
Xamarin Developer,Warszawa,Tak,17 000,25 500
Mobile Engineer (iOS or Android),Lizbona,Tak,Brak danych,Brak danych
Staż programistyczny - Flutter,Gliwice,Nie,Brak danych,Brak danych
React Native Developer,Wrocław,Tak,11 000,20 000
Flutter Developer,Gliwice,Tak,Brak danych,Brak danych
iOS/Swift Senior Developer/ka,"Kraków, +2 locations",Tak,30 200,32 000
Senior Android Engineer,"Kraków, +2 locations",Tak,17 000,26 000
iOS Developer,"Warszawa, +2 locations",Tak,10 500,21 000
iOS Developer (Remote),"Warszawa, +2 locations",Tak,13 400,23 500
Android Developer,"Warszawa, +2 locations",Tak,10 500,21 000
iOS Developer,Sopot,Tak,Brak danych,Brak danych
iOS Developer,Warszawa,Tak,Brak danych,Brak danych
Senior Android Developer,Warszawa,Tak,21 000,29 400
Dart/Flutter разработчик,Singapore,Tak,10 100,13 180
"iOS Engineer, AI Services (Edge ML)",Kraków,Tak,19 000,26 000
Mobile Team Lead,Warszawa,Tak,25 000,31 000
Senior Android Software Engineer,"Wrocław, +2 locations",Tak,15 000,23 000
iOS Developer,"Warszawa, +2 locations",Tak,10 500,21 000
iOS Developer (Remote),"Warszawa, +2 locations",Tak,13 400,23 500
Android Developer,"Warszawa, +2 locations",Tak,10 500,21 000
iOS Developer,Sopot,Tak,Brak danych,Brak danych
iOS Developer,Warszawa,Tak,Brak danych,Brak danych
Senior Android Developer,Warszawa,Tak,21 000,29 400
Dart/Flutter разработчик,Singapore,Tak,10 100,13 180
"iOS Engineer, AI Services (Edge ML)",Kraków,Tak,19 000,26 000
Mobile Team Lead,Warszawa,Tak,25 000,31 000
Senior Android Software Engineer,"Wrocław, +2 locations",Tak,15 000,23 000
Senior Android Developer,Warszawa,Tak,19 500,26 000
Mobile Tech Lead (React Native),"Kraków, +18 locations",Tak,25 000,30 000
Mid/Senior iOS Developer,Warszawa,Nie,15 000,28 000
iOS Developer,Warszawa,Tak,11 000,16 000
Android Developer,Warszawa,Tak,25 000,30 000
iOS Software Engineer,San Jose,Tak,Brak danych,Brak danych
Android Developer,Kraków,Nie,31 500,34 500
Android Developer,Warszawa,Tak,15 000,25 000
Remote Mid Mobile Developer (Android/iOS),Warszawa,Tak,9 500,18 000
Remote Senior Mobile Developer (Android/iOS),Warszawa,Tak,13 000,23 000
Android Developer,"Warszawa, +4 locations",Tak,16 000,23 000
iOS Developer,Warszawa,Tak,16 500,25 000
iOS Developer,Poznań,Nie,8 000,10 000
Android Developer,Poznań,Nie,8 000,11 000
iOS Developer,"Wrocław, +1 location",Tak,13 000,25 000
Flutter Developer,Łódź,Tak,11 000,18 000
Android Developer,Sopot,Tak,Brak danych,Brak danych
Junior iOS Developer | REMOTE,"Warszawa, +1 location",Tak,5 000,9 000
Senior Android Developer [App MODIVO],Wrocław,Tak,18 000,22 000
React Native Developer,Kraków,Tak,10 000,20 000
iOS Tech Lead,Wrocław,Tak,20 000,26 000
