nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Integration Engineer,Warszawa,Tak,8 000,10 000
Senior DevOps Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
DevOps Engineer,Warszawa,Tak,14 000,20 000
Junior Software Engineer - Integrations,Kraków,Nie,9 000,15 000
Senior Systems Engineer,Warszawa,Tak,Brak danych,Brak danych
Application Manager,Warszawa,Nie,Brak danych,Brak danych
SRE Lead,"Warszawa, +2 locations",Tak,18 000,20 000
DevOps Engineer with Hardware,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
Senior DevOps Engineer,Kraków,Tak,18 000,26 000
DevOps Engineer,Kraków,Nie,20 000,25 000
DevOps Engineer,"Kraków, +5 locations",Tak,16 000,23 000
Site Reliability Engineer,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer (Remote within NL),Amsterdam,Tak,23 230,26 940
DevOps Engineer (Remote within DE),Berlin,Tak,23 230,26 940
DevOps Engineer,Warszawa,Nie,35 300,42 270
Cloud Infrastructure Engineer,Kraków,Nie,Brak danych,Brak danych
Software Configuration Manager,Wrocław,Tak,Brak danych,Brak danych
DevOps Engineer,"Wrocław, +18 locations",Tak,Brak danych,Brak danych
DevOps Tech Lead,Warszawa,Nie,28 560,30 240
Windows System Admin (DevOps Team),Warszawa,Nie,Brak danych,Brak danych
DevOps / Site Reliability Engineer,Sopot,Tak,12 000,20 000
Senior Site Reliability Engineer,"Warszawa, +1 location",Tak,19 000,25 000
DevOps Engineer,Kraków,Tak,22 000,28 500
"DevOps Engineer (GCP, Python)","Warszawa, +1 location",Tak,14 000,28 000
DevOps Engineer,Poznań,Tak,15 000,20 000
Senior DevOps Engineer,Warszawa,Tak,19 000,25 000
DevOps Engineer - Household Tribe,Warszawa,Tak,Brak danych,Brak danych
DevOps Engineer,Wrocław,Tak,15 000,23 000
Mid DevOps Engineer,Warszawa,Tak,12 000,19 000
DevOps Engineer,"London, +1 location",Tak,24 000,28 000
Kubernetes Engineer,Warszawa,Tak,24 000,29 000
Cloud Engineer,Rzeszów,Tak,Brak danych,Brak danych
DevOps Engineer (100% zdalnie),"Warszawa, +1 location",Tak,25 000,33 500
AWS Devops Engineer- Remote/Wroclaw,Wrocław,Tak,7 000,9 000
DevOps Engineer,Warszawa,Tak,25 000,28 000
DevOps engineer,"Łódź, +1 location",Tak,Brak danych,Brak danych
DevOps Engineer,Gdańsk,Tak,Brak danych,Brak danych
DevOps Engineer (KYC & Compliance)​,Warszawa,Nie,Brak danych,Brak danych
Junior DevOps Engineer,Wrocław,Nie,4 500,6 500
Senior DevOps Engineer,Gdynia,Tak,14 000,22 000
DevOps with AWS,"Warszawa, +2 locations",Tak,21 840,26 040
DevOps Engineer (REMOTE),Warszawa,Tak,14 000,18 000
DevOps Engineer,"Gdańsk, +2 locations",Tak,11 880,23 760
Senior Software Engineer / DevOps,"Denver, +2 locations",Tak,28 990,40 410
DevOps Engineer,"Katowice, +2 locations",Tak,16 800,24 150
DevOps Engineer,Warszawa,Nie,10 000,16 000
Senior DevOps Engineer (IOT Project),Warszawa,Tak,Brak danych,Brak danych
Mid/Senior DevOps Engineer with AWS,Warszawa,Tak,18 000,28 000
Devops Engineer,Warszawa,Nie,20 160,26 880
Architect with Kubernetes,"Warszawa, +2 locations",Tak,33 600,36 100
Mid DevOps Engineer,Warszawa,Tak,12 000,20 000
Azure DevOps Engineer,Warszawa,Nie,16 300,25 500
Cloud Engineer,"Bielsko-Biała, +2 locations",Tak,14 000,20 000
Junior DevOps Engineer,Poznań,Nie,7 000,9 000
Presales Engineer,Warszawa,Tak,15 000,18 000
Senior Cloud Developer/Architekt,"Warszawa, +4 locations",Tak,20 000,30 000
DevOps Engineer,Wrocław,Tak,30 240,32 424
DevOps Engineer,Warszawa,Tak,31 920,36 960
SCM (DevOps) Engineer,"Wrocław, +2 locations",Tak,12 000,21 000
DevOps Engineer (AWS),Warszawa,Tak,16 000,25 000
Mid/Senior DevOps Azure Engineer,Warszawa,Tak,13 000,25 000
CI/CD Engineer,Warszawa,Tak,15 000,25 000
Mid Cloud Developer/Architekt,"Wrocław, +4 locations",Tak,15 000,20 000
Site Reliability Engineer,Gdańsk,Nie,21 000,28 000
DevOps Engineer,Warszawa,Nie,22 000,28 000
DevOps Engineer,Kraków,Tak,32 000,40 000
Senior DevOps Engineer,"Gliwice, +2 locations",Tak,18 300,28 700
DevOps Administrator (fully remote),Warszawa,Tak,18 000,36 000
Senior Cloud Engineer,"Warszawa, +1 location",Tak,Brak danych,Brak danych
Data Engineer / Dev with Jboss or Denodo,"Kraków, +2 locations",Tak,19 650,32 500
DevOps Engineer (Azure),Wrocław,Tak,26 880,31 920
Senior DevOps (Salesforce),Warszawa,Tak,46 120,54 900
DevOps Engineer,Wrocław,Tak,18 500,33 000
DevOps,"Wieliczka, +2 locations",Tak,Brak danych,Brak danych
DevOps with AWS and Denodo,"Kraków, +2 locations",Tak,20 000,25 000
Site Reliability Engineer,Warszawa,Nie,12 250,21 000
"AWS DevOps Engineer - startup, part-time",Kraków,Tak,25 000,30 000
Cloud Developer with Denodo,Warszawa,Tak,23 000,28 900
Senior DevOps Engineer,Warszawa,Tak,19 000,29 000
DevOps,"Wieliczka, +2 locations",Tak,Brak danych,Brak danych
DevOps with AWS and Denodo,"Kraków, +2 locations",Tak,20 000,25 000
Site Reliability Engineer,Warszawa,Nie,12 250,21 000
"AWS DevOps Engineer - startup, part-time",Kraków,Tak,25 000,30 000
Cloud Developer with Denodo,Warszawa,Tak,23 000,28 900
Senior DevOps Engineer,Warszawa,Tak,19 000,29 000
DevOps Engineer,Kraków,Nie,12 000,23 100
Technical Lead (CI/CD),Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,Warszawa,Tak,18 000,33 500
DevOps Engineer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
DevOps Engineer,"Wrocław, +1 location",Tak,21 000,29 000
Cloud Engineer,Warszawa,Nie,17 000,26 000
Senior Site Reliance Enginner,"Poznań, +2 locations",Tak,24 250,33 000
DevOps Engineer,Kraków,Tak,15 000,21 000
Azure DevOps Engineer,"Gdańsk, +2 locations",Tak,22 000,32 000
Mid DevOps Engineer,Warszawa,Tak,16 000,20 000
Cloud (Azure) Data Engineer,Warszawa,Nie,16 000,27 000
"Software Engineer, Data Platforms",Warszawa,Nie,16 000,27 000
Senior DevOps Engineer,Warszawa,Nie,18 000,28 000
Remote DevOps Engineer,Wrocław,Tak,10 000,18 000
DevOps Engineer (Automotive),"Szczecin, +1 location",Nie,Brak danych,Brak danych
DevOps Engineer,"Wrocław, +2 locations",Tak,14 000,22 000
INŻYNIER IT DS. DEVOPS,Warszawa,Nie,Brak danych,Brak danych
Cloud DevOps Specialist,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,Warszawa,Nie,Brak danych,Brak danych
DevOps Specialist,Warszawa,Nie,Brak danych,Brak danych
Fullstack Developer,"Wrocław, +1 location",Tak,12 000,21 000
DevOps Engineer,Warszawa,Tak,Brak danych,Brak danych
Senior DevOps Engineer,Warszawa,Tak,35 000,36 500
Inżynier DevOps,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
DevOps Engineer,"Warszawa, +2 locations",Tak,19 970,39 480
Azure DevOps Engineer,Warszawa,Tak,Brak danych,Brak danych
Mid/Senior DevOps (AWS),Katowice,Nie,16 800,25 200
DevOps Engineer,Wrocław,Tak,26 880,28 560
LAN/Wi-Fi Engineer,Warszawa,Tak,Brak danych,Brak danych
Mid DevOps Engineer,Kraków,Tak,12 000,18 000
Senior CloudOps Engineer,"Gliwice, +2 locations",Tak,15 600,24 500
DevOps Engineer,"Wrocław, +2 locations",Tak,12 000,16 000
CI/CD Engineer/Developer (Automotive),Wrocław,Tak,21 000,28 560
Senior Azure Specialist,Warszawa,Nie,25 200,30 240
Specjalista IT ds. systemów eCommerce,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer (Java stack),"Warszawa, +1 location",Tak,Brak danych,Brak danych
DevOps Engineer (Azure or AWS),Wrocław,Tak,16 000,23 000
Senior\Expert DevOps Engineer,"Kraków, +3 locations",Tak,20 640,32 940
DevOps Engineer,Warszawa,Nie,29 400,31 500
Cloud Automation Engineer (DevOps Eng.),Warszawa,Nie,15 120,25 200
DevOps Linux Engineer / Administrator,"Poznań, +1 location",Tak,10 000,16 000
IoT Engineer,"Gliwice, +3 locations",Nie,9 800,12 000
Devops Network Engineer,Katowice,Tak,10 000,14 000
Operations Engineer (Mid/Senior-level),Warszawa,Nie,9 000,18 000
Cloud Transformation Consultant,Warszawa,Tak,Brak danych,Brak danych
Senior DevOps Engineer,Warszawa,Tak,17 000,22 000
DevOps / Platform Tech Lead,"Warszawa, +2 locations",Tak,Brak danych,Brak danych
DevOps Engineer - FinTech,Warszawa,Nie,20 000,30 000
Remote DevOps Engineer,"Warszawa, +1 location",Tak,16 000,26 000
DevOps Engineer,Katowice,Tak,Brak danych,Brak danych
DevOps Engineer,Warszawa,Tak,18 000,28 000
DevOps Engineer,"Warszawa, +2 locations",Tak,22 000,23 000
Azure Senior/Lead DevOps/Cloud Architect,"Wrocław, +2 locations",Tak,20 000,32 000
DevOps Engineer,Wrocław,Tak,15 000,25 000
DevOps Senior Manager,Warszawa,Nie,30 000,38 000
Mid DevOps Engineer - Remote,"Warszawa, +2 locations",Tak,22 300,26 010
Senior DevOps Engineer,"Kraków, +2 locations",Nie,25 200,31 500
DevOps Engineer,"Katowice, +2 locations",Tak,25 000,35 000
DevOps / AWS Engineer,"Wrocław, +2 locations",Tak,26 000,37 000
DevOps Engineer,"Warszawa, +2 locations",Tak,15 000,30 000
DevOps Engineer,"Gliwice, +1 location",Tak,9 500,19 000
Devops Engineer,Poznań,Tak,Brak danych,Brak danych
Site Reliability Engineering Manager,Kraków,Tak,16 800,33 600
Senior DevOps,"Warszawa, +2 locations",Tak,18 580,27 870
Engineer Technical Lead-Cloud Networking,Kraków,Tak,Brak danych,Brak danych
"DEVOPS ENGINEER (GCP, PYTHON)",Wrocław,Tak,14 000,28 000
DevOps Engineer (AWS),Warszawa,Tak,20 000,24 150
Kubernetes Developer,Warszawa,Tak,23 230,32 520
Senior Cloud Architect,Warszawa,Tak,25 550,34 840
Junior DevOps Engineer,Wrocław,Tak,6 000,12 000
Platform Engineer (DevOps Engineer),Gliwice,Nie,23 000,25 000
DevOps Engineer,Warszawa,Tak,11 000,15 000
DevOps Engineer (Linux),Wrocław,Tak,Brak danych,Brak danych
DevOps Engineer,"Wrocław, +18 locations",Tak,12 000,18 000
DevOps Engineer,"Warszawa, +4 locations",Tak,14 000,19 000
Junior DevOps Engineer,Gliwice,Tak,6 000,8 000
Senior Cloud Architect,Warszawa,Tak,25 550,34 840
Junior DevOps Engineer,Wrocław,Tak,6 000,12 000
Platform Engineer (DevOps Engineer),Gliwice,Nie,23 000,25 000
DevOps Engineer,Warszawa,Tak,11 000,15 000
DevOps Engineer (Linux),Wrocław,Tak,Brak danych,Brak danych
DevOps Engineer,"Wrocław, +18 locations",Tak,12 000,18 000
DevOps Engineer,"Warszawa, +4 locations",Tak,14 000,19 000
Junior DevOps Engineer,Gliwice,Tak,6 000,8 000
Cloud Engineer,"Kraków, +2 locations",Tak,18 000,26 000
DevOps Engineer,"Kraków, +2 locations",Tak,16 000,22 000
Mongo DB Administrator,Warszawa,Nie,Brak danych,Brak danych
DevOps Engineer,"Gdańsk, +2 locations",Tak,16 000,22 000
DevOps Engineer,"Warszawa, +2 locations",Tak,16 800,25 200
Site Reliability Engineer,Kraków,Nie,18 000,28 000
​Site Reliability Engineer,Wrocław,Tak,Brak danych,Brak danych
DevOps Engineer,Berlin,Nie,20 900,32 520
Mid Devops Engineer,Kraków,Nie,8 000,15 000
Junior DevOps Engineer,Poznań,Nie,5 000,8 000
Senior DevOps AWS Engineer,Warszawa,Tak,19 000,25 000
Principal Cloud Engineer,Herndon,Tak,Brak danych,Brak danych
молодший DevOps Engineer,Poznań,Nie,5 000,8 000
Site Reliability Engineer (Cloud Team),"Warszawa, +18 locations",Tak,Brak danych,Brak danych
DevOps Engineer,Kraków,Tak,Brak danych,Brak danych
Senior DevOps Engineer,Warszawa,Tak,27 000,30 200
DevOps Lab - Intern,Poznań,Nie,Brak danych,Brak danych
DevOps Engineer,Warsaw,Nie,Brak danych,Brak danych
