,zarobki_min,zarobki_max,nazwa,miasto,zdalnie,zarobki_srednie
768,16000.0,17000.0,Senior C# Developer,Kraków,Tak,16500.0
769,15000.0,20000.0,Team Lead / Scrum Master with technical background,Kraków,Tak,17500.0
786,6000.0,9700.0,Junior Java Developer,Wrocław,Nie,7850.0
787,5000.0,9000.0,Junior PHP Developer,Łódź,Tak,7000.0
798,5000.0,9000.0,Junior .NET Developer,Łódź,Nie,7000.0
837,15000.0,22500.0,Senior Data Scientist - Ekspert ds. modelowania danych,Warszawa,Tak,18750.0
844,8000.0,28056.0,"Systems Engineer - Linux, Cloud, DevOps",Gdańsk,Nie,18028.0
846,6000.0,12600.0,"Junior Systems Engineer - Linux, Cloud, DevOps",Gdańsk,Tak,9300.0
862,8000.0,15000.0,.NET Developer Full Stack,Suchy Las (pow. poznański),Nie,11500.0
865,7000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8500.0
877,8000.0,28056.0,React Frontend Developer,Gdańsk,Tak,18028.0
884,22000.0,22000.0,Front-End developer JS / Angular,Wrocław,Tak,22000.0
906,10000.0,16000.0,Node.js Developer,Warszawa,Tak,13000.0
909,15000.0,23000.0,Senior Front-end Developer,Warszawa,Tak,19000.0
916,10000.0,16000.0,Mid Front-end Developer,Warszawa,Tak,13000.0
932,9000.0,12000.0,QA Engineer (m/f/d),Katowice,Tak,10500.0
933,21000.0,28500.0,Senior React Native Developer,Kraków,Tak,24750.0
935,20000.0,25000.0,Senior Java Developer,Wrocław,Tak,22500.0
946,9100.0,15100.0,Node.js Developer,Kraków,Tak,12100.0
989,13800.0,21000.0,Senior Front-end Developer,Kraków,Tak,17400.0
990,10800.0,16800.0,React Native Developer,Kraków,Tak,13800.0
993,6000.0,10000.0,Programista APS.net  / MS VBA,Warszawa,Tak,8000.0
1001,26000.0,33000.0,Solution Architect (.Net),Kraków,Tak,29500.0
1014,9000.0,15000.0,IT Specialist – Specjalista ds. Wdrożeń,Wrocław,Nie,12000.0
1016,22000.0,22000.0,Front-End developer JS / Angular,Wrocław,Tak,22000.0
1018,8000.0,15500.0,Web Analyst,Warszawa,Nie,11750.0
1034,15000.0,17000.0,Business Analyst with BI/Tableau,Kraków,Tak,16000.0
1073,6000.0,12600.0,Junior Java Developer,Gdańsk,Tak,9300.0
1082,9000.0,12000.0,QA Engineer (m/f/d),Katowice,Tak,10500.0
1118,15000.0,22500.0,Senior Data Scientist - Ekspert ds. modelowania danych,Warszawa,Tak,18750.0
1278,9500.0,12500.0,Junior JavaScript Developer,"Katowice, Łódź",Tak,11000.0
1279,9500.0,12500.0,Junior JavaScript Developer,"Katowice, Łódź",Tak,11000.0
1282,23500.0,30200.0,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,26850.0
1296,23500.0,30200.0,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,26850.0
1299,9500.0,12500.0,Junior JavaScript Developer,"Kraków, Warszawa",Tak,11000.0
1303,23500.0,30200.0,Senior React Developer,"Katowice, Kielce, Kraków",Tak,26850.0
1314,9500.0,12500.0,Junior JavaScript Developer,"Gdańsk, Warszawa",Tak,11000.0
1322,23500.0,30200.0,Senior React Developer,"Katowice, Kielce, Krakow",Tak,26850.0
1323,23500.0,30200.0,Senior React Developer,"Katowice, Kielce, Krakow",Tak,26850.0
1328,23500.0,30200.0,Senior React Developer,"Katowice, Krakow, Rzeszów",Tak,26850.0
1344,9500.0,12500.0,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,11000.0
1345,9500.0,12500.0,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,11000.0
1346,9500.0,12500.0,Junior JavaScript Developer,"Białystok, Lublin",Tak,11000.0
1347,9500.0,12500.0,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,11000.0
1348,9500.0,12500.0,Junior JavaScript Developer,"Białystok, Lublin",Tak,11000.0
1365,23500.0,30200.0,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,26850.0
1384,9500.0,12500.0,Junior JavaScript Developer,"Lublin, Wrocław",Tak,11000.0
1385,23500.0,30200.0,Senior React Developer,"Kraków, Lublin, Wrocław",Tak,26850.0
1386,9500.0,12500.0,Junior JavaScript Developer,"Katowice, Łódź",Tak,11000.0
1392,23500.0,30200.0,Senior React Developer,"Kraków, Lublin, Wrocław",Tak,26850.0
1401,9500.0,12500.0,Junior JavaScript Developer,"Lublin, Warszawa",Tak,11000.0
1402,9500.0,12500.0,Junior JavaScript Developer,"Białystok, Lublin",Tak,11000.0
1403,9500.0,12500.0,Junior JavaScript Developer,"Gdynia, Warszawa",Tak,11000.0
1406,23500.0,30200.0,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,26850.0
1408,23500.0,30200.0,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,26850.0
1409,23500.0,30200.0,Senior React Developer,"Gdańsk, Lublin, Warszawa",Tak,26850.0
1410,23500.0,30200.0,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,26850.0
1411,23500.0,30200.0,Senior React Developer,"Kraków, Warszawa, Wrocław",Tak,26850.0
1413,9500.0,12500.0,Junior JavaScript Developer,"Sztokholm, Wrocław",Tak,11000.0
1414,9500.0,12500.0,Junior JavaScript Developer,"Sztokholm, Wrocław",Tak,11000.0
1420,14000.0,28000.0,Full-stack developer (Ruby),"Krakow, Warsaw",Tak,21000.0
1425,20900.0,27000.0,Ruby on Rails Software Architect,"Gżira, Poznań, Tbilisi",Tak,23950.0
1426,20900.0,27000.0,Ruby on Rails Software Architect,"Gżira, Poznań, Tbilisi",Tak,23950.0
1436,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Białystok, Gdańsk, Kraków, Poznań, Wrocław",Tak,16000.0
1439,7200.0,14500.0,Senior Software Engineer,"Białystok, Kielce, Łódź, Zielona Góra",Nie,10850.0
1440,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1441,19000.0,25400.0,Senior Java Developer,"Kraków, Wrocław",Nie,22200.0
1444,19000.0,25400.0,Senior Java Developer,"Kraków, Wrocław",Nie,22200.0
1446,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Tak,22200.0
1447,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Tak,22200.0
1451,19000.0,25400.0,Senior Java Developer,"Kraków, Wrocław",Nie,22200.0
1454,19000.0,25400.0,Senior Java Developer,"Kraków, Wrocław",Nie,22200.0
1467,11800.0,15100.0,Junior Test Automation Engineer,"Białystok, Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Poznań, Rzeszów, Warszawa, Wrocław",Tak,13450.0
1468,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Katowice, Kielce, Kraków, Lublin, Warszawa",Tak,16000.0
1469,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Nie,22200.0
1471,14000.0,20800.0,Tester Automatyzujący Java,"Bydgoszcz, Częstochowa, Gdańsk, Gliwice, Katowice, Kraków, Łódź, Lublin, Poznań, Warszawa, Wrocław",Tak,17400.0
1474,19000.0,25400.0,Senior Java Developer,"Bydgoszcz, Warszawa",Tak,22200.0
1476,7200.0,14500.0,Senior Software Engineer,"Katowice, Kraków, Łódź, Warszawa",Tak,10850.0
1477,7200.0,14500.0,Senior Software Engineer,"Katowice, Kraków, Łódź, Warszawa",Tak,10850.0
1479,14500.0,17500.0,Cloud Developer Fullstack (SAP BTP),"Berlin, Kempten (Allgäu), Kraków, Paryż, Ulm",Tak,16000.0
1482,19000.0,25400.0,Senior Java Developer,"Katowice, Łódź",Tak,22200.0
1485,13500.0,22100.0,Java Cloud Developer,"Białystok, Gdańsk, Kraków, Łódź, Lublin, Poznań, Szczecin, Warszawa, Wrocław",Tak,17800.0
1486,20000.0,25000.0,Lead Developer/Architect,"Gdańsk, Kraków, Łódź, Poznań, Warszawa, Wrocław",Tak,22500.0
1491,13000.0,17700.0,Cloud Software Developer (Intelligent Selling Services),"Gdańsk, Lublin, Warszawa",Tak,15350.0
1511,7200.0,14500.0,Senior Software Engineer,"Katowice, Kielce, Kraków, Warszawa",Tak,10850.0
1523,19000.0,25400.0,Senior Java Developer,"Katowice, Warszawa",Tak,22200.0
1524,19000.0,25400.0,Senior Java Developer,"Warszawa, Wrocław",Tak,22200.0
