nazwa,miasto,zdalnie,zarobki_min,zarobki_max
IT Help Desk Associate,Warszawa,Nie,6 000,8 000
IT Support Specialist,Warszawa,Nie,Brak danych,Brak danych
IT Support Engineer,Wrocław,Tak,Brak danych,Brak danych
Konsultant Wsparcia L3,Warszawa,Tak,13 000,15 000
Konsultant Wsparcia L2,Warszawa,Tak,12 000,15 000
Junior Technical Consultant,Warszawa,Nie,4 000,7 000
IT Engineer,Szczecin,Nie,6 000,10 000
KONSULTANT IT,Poznań,Nie,Brak danych,Brak danych
Customer Support Engineer,Warszawa,Tak,16 800,18 480
Praktyki w IT - Voiceboty i Chatboty,Warszawa,Nie,Brak danych,Brak danych
IT Support Engineer,Kraków,Nie,Brak danych,Brak danych
Customer Engineer,Poznań,Nie,5 000,10 000
NOC Engineer,Warszawa,Nie,Brak danych,Brak danych
Senior IT Service Coordinator,Warszawa,Nie,Brak danych,Brak danych
Production Support Specialist,Kraków,Tak,15 000,16 000
Customer Support Engineer,Warszawa,Tak,16 800,18 480
Praktyki w IT - Voiceboty i Chatboty,Warszawa,Nie,Brak danych,Brak danych
IT Support Engineer,Kraków,Nie,Brak danych,Brak danych
Customer Engineer,Poznań,Nie,5 000,10 000
NOC Engineer,Warszawa,Nie,Brak danych,Brak danych
Senior IT Service Coordinator,Warszawa,Nie,Brak danych,Brak danych
Production Support Specialist,Kraków,Tak,15 000,16 000
Troubleshooter,Wrocław,Tak,Brak danych,Brak danych
Konsultant  (projekty międzynarodowe),Wrocław,Nie,Brak danych,Brak danych
Konsultant systemów BI,Łódź,Nie,Brak danych,Brak danych
Młodszy konsultant ds. e⁠-⁠Commerce,Kraków,Nie,Brak danych,Brak danych
Freelance Rekruter IT,Warszawa,Tak,9 000,18 000
Support Specialist,Kraków,Nie,Brak danych,Brak danych
Business Data Platform Support,Warszawa,Tak,5 300,8 000
IT Support Engineer Internship,Kraków,Nie,Brak danych,Brak danych
Specjalista ds. wsparcia GIS,"Zielona Góra, +1 location",Nie,Brak danych,Brak danych
Diligent Platform Support Specialist,Łódź,Tak,5 500,7 000
Integration Support Specialist,Kraków,Nie,Brak danych,Brak danych
"Developer Support Engineer (C#, SQL)",Warszawa,Tak,Brak danych,Brak danych
Environment Support Engineer,Gdynia,Nie,10 000,14 000
Senior Support Engineer,Gdańsk,Tak,Brak danych,Brak danych
