nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Linux Administrator,"Wrocław, +2 locations",Nie,Brak danych,Brak danych
Senior Citrix Technical Administrator,Kraków,Nie,18 000,22 000
Remote Linux/Windows Administrator,"Lublin, +2 locations",Tak,18 000,24 000
Administrator ds. utrzymania systemów IT,Gdańsk,Nie,9 000,10 000
Administrator ds. Aplikacji,Gdańsk,Tak,9 000,10 000
Unix/Linux System Administrator,Kraków,Tak,16 000,19 000
Control-M Administrator,Kraków,Tak,15 000,21 000
Sr. Engineer (Hosting Backup and Storage),Poznań,Tak,Brak danych,Brak danych
Mł. Administrator Środowisk Chmurowych,"Sopot, +2 locations",Nie,Brak danych,Brak danych
Administrator ds. Środowisk Chmurowych,"Gdańsk, +2 locations",Nie,Brak danych,Brak danych
Database Security Administrator-Guardium,Kraków,Tak,15 000,21 000
Administrator IT/ DevOps,Kraków,Tak,23 520,30 240
Websphere Administrator,Kraków,Tak,15 000,21 500
Network Specialist,Kraków,Tak,15 000,17 000
Mid Linux System Engineer,"Warszawa, +3 locations",Tak,10 000,15 000
EUC Endpoint Privilege Lead,Kraków,Tak,Brak danych,Brak danych
Senior Linux System Engineer,"Poznań, +3 locations",Tak,18 000,22 000
Linux Administrator,Wrocław,Tak,Brak danych,Brak danych
Administrator Baz Danych,Warszawa,Nie,13 000,15 000
IT Manager,Łódź,Tak,12 000,15 000
ServiceNow Technical Administrator,Kraków,Tak,16 000,21 000
IWS/TWS Administrator,Kraków,Tak,18 000,24 000
Inżynier Sieci IP,Gdynia,Nie,Brak danych,Brak danych
Google Cloud Platform Administrator,"Kraków, +2 locations",Nie,15 000,20 000
WebOps Engineer,"Warszawa, +2 locations",Tak,22 000,28 000
Senior DevOps Engineer,"Kraków, +1 location",Tak,15 000,25 000
IT Coordinator,Częstochowa,Nie,9 000,13 000
Firewall & Network Engineer,Katowice,Tak,Brak danych,Brak danych
Database Administrator,Piotrków Trybunalski,Nie,Brak danych,Brak danych
Administrator Systemu EDI,Kraków,Nie,Brak danych,Brak danych
Senior System & Network Administrator,Szczecin,Nie,Brak danych,Brak danych
IT Operations Administrator,Warszawa,Nie,Brak danych,Brak danych
Cybersecurity Engineer,Warszawa,Nie,Brak danych,Brak danych
Remote System Administrator/DevOps,Łódź,Tak,15 000,20 000
ICT Technical Team Manager,Szczecin,Nie,Brak danych,Brak danych
Presales Engineer,Warszawa,Tak,15 000,18 000
Administrator systemów komputerowych,Gdynia,Nie,Brak danych,Brak danych
IT Support Specialist,Warszawa,Nie,Brak danych,Brak danych
BACKUP & SERVER ADMINISTRATOR,Poznań,Nie,Brak danych,Brak danych
Linux System Administrator,Warszawa,Tak,12 000,16 000
Administrator sieci,"Poznań, +1 location",Nie,Brak danych,Brak danych
Administrator Aplikacji,Warszawa,Tak,Brak danych,Brak danych
IT Administrator,Wrocław,Nie,Brak danych,Brak danych
Mobile Device Configuration Specialist,Wrocław,Nie,Brak danych,Brak danych
Junior System Administrator,Kraków,Tak,7 500,10 000
