nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Web Developer,Warszawa,Nie,8 500,15 000
Frontend Developer (Angular),"Warszawa, +5 locations",Tak,10 000,18 000
Senior Node.js Engineer,Warszawa,Nie,23 000,28 000
Frontend Developer (React),Wrocław,Tak,Brak danych,Brak danych
Fullstack Software Engineer,"Gdańsk, +2 locations",Tak,14 000,25 000
Node.js Developer,Kraków,Tak,16 800,31 800
Frontend Angular Developer,"Warszawa, +2 locations",Tak,16 000,23 000
Front-end Vue.js Engineer (Regular),Wrocław,Tak,14 000,20 000
Senior Back-End Developer Web3 (Remote),Warszawa,Tak,33 000,37 000
Senior React/TypeScript Developer,Warszawa,Nie,12 000,20 000
Senior Node.js Developer,Gdynia,Tak,26 880,30 240
Web QA Automation Engineer,Wrocław,Tak,Brak danych,Brak danych
Senior Node.js Developer,Poznań,Tak,16 000,24 600
Node.js Developer,Warszawa,Tak,25 200,28 560
(Senior) Front End Engineer/ 100% REMOTE,"Warszawa, +4 locations",Tak,30 190,46 450
Frontend Developer (React),Wrocław,Tak,14 000,20 000
Front End Developer (Office),Ostrów Wielkopolski,Nie,6 000,12 000
React Developer,"Wrocław, +2 locations",Tak,14 000,20 000
Front-End Developer,Warszawa,Tak,16 800,25 200
Senior Vue.js Developer,"Kraków, +18 locations",Tak,21 800,26 800
Senior Front-end Developer (React),Gdańsk,Tak,Brak danych,Brak danych
Junior Frontend Developer,Poznań,Tak,6 100,9 000
Frontend Developer (Mid/Senior),Łódź,Nie,9 500,17 000
Frontend Developer,Warszawa,Tak,25 200,30 240
Mid/ senior front-end developer,"Rzeplin, +18 locations",Tak,15 000,20 000
Senior Node.js Developer,"Limassol, +2 locations",Tak,Brak danych,Brak danych
Senior FullStack Developer,Łódź,Tak,34 000,37 000
Node.js Technical Team Leader,Wrocław,Tak,20 160,26 880
Software Engineer (Node.js),Katowice,Nie,15 210,25 200
JavaScript Developer,"Gdańsk, +4 locations",Tak,8 500,16 800
Senior React Developer,Białystok,Tak,14 000,18 000
Technical Lead Vue.js,Wrocław,Tak,20 160,26 880
Remote Mid/Senior Angular Developer,Łódź,Tak,16 800,25 200
Front-End Developer,Lublin,Tak,Brak danych,Brak danych
Senior React developer,"Warszawa, +3 locations",Tak,Brak danych,Brak danych
Frontend Developer,"Wrocław, +2 locations",Tak,Brak danych,Brak danych
Frontend Developer,Kraków,Tak,20 000,26 000
React Developer,Warszawa,Tak,8 400,16 800
AdTech Specialist,Kraków,Nie,9 000,15 000
