nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Python / Node.js developer,Kraków,Nie,Brak danych,Brak danych
Senior Python Backend Developer,Warszawa,Tak,23 230,32 520
Remote Senior Python Developer,"Szczecin, +4 locations",Tak,14 500,21 300
Python Financial Developer,Warszawa,Nie,15 000,20 000
Python Developer in Data Science,"Warszawa, +17 locations",Tak,14 000,20 000
Python Developer,Warszawa,Nie,15 000,20 000
Lead Python Developer,Kraków,Tak,32 000,40 000
Senior Data Scientist / AI Engineer,Warszawa,Nie,15 000,25 000
Senior Python Developer (with Big Data),"Warszawa, +2 locations",Tak,30 000,35 000
Junior IT Specialist,Warszawa,Nie,5 000,9 000
Regular Python Developer (Gaming),Kraków,Tak,16 000,22 000
Data Scientist,Warszawa,Nie,10 000,15 000
Backend Developer (Python / Django),Warszawa,Tak,11 000,14 000
Senior Data Scientist (user behaviour),"Kraków, +2 locations",Tak,26 000,35 000
Senior/Principal Python Cloud (AWS) Developer,"Wrocław, +2 locations",Tak,21 000,30 400
Senior/Principal Python Developer,"Wrocław, +2 locations",Tak,20 000,29 200
Python Developer,Wrocław,Tak,13 000,20 000
Programista Python (Full Stack),Warszawa,Nie,10 000,14 000
Software Engineer,Oslo,Tak,15 480,27 090
Platform Software Engineer,Londyn,Tak,21 960,32 940
Python/Angular 8+ Developer Mid,Gdańsk,Tak,16 000,22 000
Python Backend Developer,Warszawa,Tak,16 000,25 000
Remote Backend Python Developer,"Warszawa, +2 locations",Tak,14 000,23 000
Remote Python Test Automation Engineer,"Kraków, +2 locations",Tak,8 000,14 000
Senior Fullstack Python Developer,Wrocław,Tak,16 800,23 520
FullStack Software Developer,Kraków,Tak,18 500,21 800
Python Developer,"Wrocław, +17 locations",Tak,10 000,16 000
Senior Data Engineer,Warszawa,Tak,15 000,22 000
Remote Backend Python Developer,"Warszawa, +2 locations",Tak,14 000,23 000
Remote Python Test Automation Engineer,"Kraków, +2 locations",Tak,8 000,14 000
Senior Fullstack Python Developer,Wrocław,Tak,16 800,23 520
FullStack Software Developer,Kraków,Tak,18 500,21 800
Python Developer,"Wrocław, +17 locations",Tak,10 000,16 000
Senior Data Engineer,Warszawa,Tak,15 000,22 000
Linux System Software Engineer,Wrocław,Tak,20 000,26 000
Python Developer,Warszawa,Tak,11 000,19 000
Python Developer,Tel Aviv-Yafo,Tak,28 500,37 700
Python Developer,Łódź,Tak,Brak danych,Brak danych
Machine Learning Engineer,Warszawa,Tak,Brak danych,Brak danych
QA Embedded,"Warszawa, +2 locations",Tak,13 400,18 500
Senior Python Developer,"Wrocław, +4 locations",Tak,18 500,26 000
Development Manager,Southampton,Tak,34 200,41 030
Python Developer,"Warszawa, +2 locations",Tak,15 000,18 000
Python Developer,"Poznań, +1 location",Tak,8 000,14 000
Python Engineer,Warszawa,Nie,13 000,18 000
Python Backend Developer,Wrocław,Tak,23 520,28 560
Backend Python developer,Wrocław,Nie,14 000,18 000
Senior Software Engineer,Berlin,Tak,19 350,23 230
Senior Data Scientist (Computer Vision),Warszawa,Tak,18 000,24 000
Software Engineer in Machine Learning,Warszawa,Tak,12 000,18 000
Inżynier (Platformy Usług Dodanych),Warszawa,Nie,Brak danych,Brak danych
Data Science Manager,Warszawa,Tak,18 000,26 000
Senior Developer IAM,Warszawa,Nie,Brak danych,Brak danych
Engineering Manager,Warszawa,Tak,18 000,26 000
Open Source Senior Python (Django) Developer,Kraków,Tak,15 000,25 100
Python Developer,"London, +5 locations",Nie,Brak danych,Brak danych
Python Developer,Warszawa,Tak,8 000,10 000
Senior Software Engineer,Warszawa,Nie,23 230,31 590
Thunderbird Build & Release Engineer,San Francisco,Tak,Brak danych,Brak danych
Junior Python Developer,Gliwice,Tak,Brak danych,Brak danych
Blockchain Engineering Onboarding Spec,Nowy Jork,Tak,Brak danych,Brak danych
