nazwa,miasto,zdalnie,zarobki_min,zarobki_max
Azure Cloud Engineer,Gdańsk,Tak,Brak danych,Brak danych
.NET Core Developer,Wrocław,Tak,15 000,22 200
.NET Developer,Gdańsk,Tak,12 600,18 800
Junior .NET Developer,Gdańsk,Nie,7 500,10 000
C# developer,Gdańsk,Nie,9 000,18 000
Remote C# Developer,"Kraków, +1 location",Tak,Brak danych,Brak danych
.NET Developer,Poznań,Nie,Brak danych,Brak danych
Senior .NET Developer (with AWS/Cloud),Warszawa,Tak,26 880,31 080
Azure Cloud .NET Developer,Warsaw,Nie,Brak danych,Brak danych
Programista .NET,Poznań,Nie,Brak danych,Brak danych
Junior Software Engineer (.NET),Gliwice,Nie,Brak danych,Brak danych
.NET Developer (B2B),Warszawa,Nie,10 000,16 000
Junior .NET Developer,Warszawa,Nie,7 000,8 000
"Mid Full-Stack Developer (C#, JS)",Poznań,Tak,14 000,17 600
C# .NET Developer,Wrocław,Tak,11 500,21 500
Mid .NET Developer,"Gliwice, +2 locations",Tak,14 000,20 000
Lead .NET Quant Engineer,Wrocław,Tak,21 500,32 000
Senior .Net Developer,Wrocław,Tak,11 500,21 500
"Programista Xamarin (Android, Forms)","Warszawa, +2 locations",Tak,Brak danych,Brak danych
.NET Developer,"Warszawa, +2 locations",Tak,12 000,18 000
Frontend Angular Developer,Warsaw,Nie,Brak danych,Brak danych
Junior .NET Developer (backend),Poznań,Nie,4 500,8 500
Programista ASP.NET,Poznań,Nie,4 500,8 500
.NET Developer,Warszawa,Nie,Brak danych,Brak danych
Backend .Net Developer,Gdańsk,Nie,Brak danych,Brak danych
.NET Developer,Warszawa,Nie,10 000,14 000
Mid Remote Cloud Developer,"Poznań, +1 location",Tak,17 000,25 000
C# / .NET Developer,Warszawa,Tak,8 500,12 000
.NET developer,Katowice,Tak,16 000,19 000
Programista .NET,Poznań,Nie,Brak danych,Brak danych
.NET Developer (eCommerce),Wrocław,Tak,15 000,22 200
.NET Developer,"Bielsko-Biała, +2 locations",Tak,10 000,17 000
Full-Stack .NET Engineer,"Warsaw, +1 location",Tak,Brak danych,Brak danych
Mid/Senior .Net Developer,"Warszawa, +2 locations",Tak,11 200,22 400
Mid / Senior .NET Developer,Wrocław,Tak,12 000,20 000
Fullstack .NET Developer,Poznań,Nie,10 000,13 500
Full Stack .Net Developer (React),"Warszawa, +2 locations",Tak,21 840,25 200
Senior .NET Developer,"Gdańsk, +1 location",Tak,Brak danych,Brak danych
C# Developer,"Wrocław, +2 locations",Tak,17 000,25 000
.Net Developer (WinForms/DevExpress),Gdańsk,Tak,11 000,13 000
.Net Developer Internship,Gdańsk,Nie,,
Remote Senior Backend Developer,Kraków,Tak,13 000,20 000
Remote Mid Backend Developer,Kraków,Tak,11 000,15 000
Backend .Net Developer,Gliwice,Tak,13 500,20 000
.NET Fullstack Developer,"Gliwice, +2 locations",Tak,12 500,22 500
Mid/Senior .NET Developer,Wrocław,Tak,12 000,23 000
Test Automation Engineer (C#),Katowice,Tak,9 000,14 000
.NET Developer,Warszawa,Tak,Brak danych,Brak danych
.NET Developer,Gliwice,Nie,9 000,18 000
.NET Developer,Wrocław,Nie,Brak danych,Brak danych
Senior/ Principal .NET Developer,"Gdańsk, +2 locations",Tak,16 000,29 000
.NET Developer,"Gdańsk, +2 locations",Tak,12 000,21 000
Web Scraping / .NET Developer | Airlines,"Katowice, +1 location",Tak,17 000,22 000
Sharepoint Developer,Warszawa,Nie,13 650,18 900
.Net Developer,Wrocław,Tak,10 000,15 000
.Net Full Stack Engineer (remote EU/UK),Berlin,Tak,38 300,41 030
.NET Developer,"Łódź, +1 location",Tak,9 500,13 250
.NET Developer,Warszawa,Nie,14 000,21 000
Programista .NET - płatny staż,Gdańsk,Nie,Brak danych,Brak danych
Senior .Net Developer,Wrocław,Nie,16 500,23 000
.NET Core Developer,"Gdańsk, +1 location",Tak,12 600,18 800
.NET Back-End Developer (Senior/Mid),Kraków,Tak,15 120,25 200
Internship - .NET Developer,Warszawa,Tak,Brak danych,Brak danych
Full-Stack .NET Developer (Senior/Mid),Kraków,Tak,15 120,25 200
Junior Software Developer,Poznań,Nie,7 200,9 800
"Senior Software Engineer, .NET",Warszawa,Tak,19 200,28 880
.NET Developer,Bydgoszcz,Tak,Brak danych,Brak danych
"Senior Software Developer (C#, .NET)",Łódź,Nie,Brak danych,Brak danych
.Net Developer,Kraków,Tak,13 400,20 300
Programista C# desktop bazy danych,Gdańsk,Nie,Brak danych,Brak danych
